Pos.,DriverCountry,DriverName,DriverSurname,"Points driver",Constructor,"Points Constructors","Pos. Constructors",ConstructorsCountry
12,Canada,Lance," Stroll",40,Williams-Mercedes,83,5,"United Kingdom"
15,Spain,"Fernando ",Alonso,17,McLaren-Honda,30,9,"United Kingdom"
3,Finland," Valtteri ",Bottas,305,Mercedes,668,1,Germany
-1,"United Kingdom"," Jenson ",Button,0,McLaren-Honda,30,9,"United Kingdom"
-1,"United Kingdom","Paul ","di Resta",0,Williams-Mercedes,83,5,"United Kingdom"
20,Sweden,"Marcus ",Ericsson,0,Sauber-Ferrari,5,10,Switzerland
21,France,"Pierre ",Gasly,0,"Toro Rosso",53,7,Italy
22,Italy," Antonio ",Giovinazzi,0,Sauber-Ferrari,5,10,Switzerland
13,France,"Romain ",Grosjean,28,Haas-Ferrari,47,8,USA
1,"United Kingdom","Lewis ",Hamilton,363,Mercedes,668,1,Germany
23,"New Zealand",Brendon,Hartley,0,"Toro Rosso",53,7,Italy
10,Germany,"Nico ",Hülkenberg,43,Renault,57,6,France
19,Russia,"Daniil ",Kvyat,5,"Toro Rosso",53,7,Italy
14,Denmark,Kevin,Magnussen,19,Haas-Ferrari,47,8,USA
11,Brasil,Felipe,Massa,43,Williams-Mercedes,83,5,"United Kingdom"
8,France,"Esteban ",Ocon,87,"Force India-Mercedes",187,4,India
17,"United Kingdom","Jolyon ",Palmer,8,Renault,57,6,France
7,Mexican,"Sergio ",Pérez,100,"Force India-Mercedes",187,4,India
4,Finland,"Kimi ",Räikkönen,205,Ferrari,522,2,Italy
5,Australia,"Daniel ",Riccardo,200,"Red Bull Racing-TAG Heue",368,3,Austria
9,Spain,Carlos,"Sainz Jr.",54,Renault,57,6,France
16,Belgium,"Stoffel ",Vandoorne,13,McLaren-Honda,30,9,"United Kingdom"
6,Nederland,"Max ",Verstappen,168,"Red Bull Racing-TAG Heue",368,3,Austria
2,Germany,Sebastian,Vettel,317,Ferrari,522,2,Italy
18,Germany,"Pascal ",Wehrlein,5,Sauber-Ferrari,5,10,Switzerland
